subject	method	block	trail	err
1	simple10	1	1	1
1	simple10	1	2	3
1	simple10	1	3	2
1	simple10	1	4	0
1	simple10	1	5	0
1	simple10	1	6	0
1	simple10	1	7	2
1	simple10	1	8	0
1	simple10	1	9	3
1	simple10	1	10	0
1	simple10	2	1	0
1	simple10	2	2	0
1	simple10	2	3	2
1	simple10	2	4	0
1	simple10	2	5	0
1	simple10	2	6	0
1	simple10	2	7	0
1	simple10	2	8	0
1	simple10	2	9	0
1	simple10	2	10	0
1	simple10	3	1	2
1	simple10	3	2	0
1	simple10	3	3	0
1	simple10	3	4	0
1	simple10	3	5	0
1	simple10	3	6	0
1	simple10	3	7	0
1	simple10	3	8	0
1	simple10	3	9	0
1	simple10	3	10	3
1	simple10	4	1	1
1	simple10	4	2	0
1	simple10	4	3	0
1	simple10	4	4	0
1	simple10	4	5	0
1	simple10	4	6	0
1	simple10	4	7	1
1	simple10	4	8	0
1	simple10	4	9	0
1	simple10	4	10	0
1	random	1	1	0
1	random	1	2	0
1	random	1	3	0
1	random	1	4	0
1	random	1	5	0
1	random	1	6	0
1	random	1	7	0
1	random	1	8	0
1	random	1	9	0
1	random	1	10	0
1	random	2	1	0
1	random	2	2	0
1	random	2	3	0
1	random	2	4	0
1	random	2	5	0
1	random	2	6	0
1	random	2	7	0
1	random	2	8	0
1	random	2	9	0
1	random	2	10	0
1	random	3	1	0
1	random	3	2	0
1	random	3	3	0
1	random	3	4	0
1	random	3	5	0
1	random	3	6	0
1	random	3	7	0
1	random	3	8	0
1	random	3	9	0
1	random	3	10	0
1	random	4	1	0
1	random	4	2	0
1	random	4	3	0
1	random	4	4	0
1	random	4	5	0
1	random	4	6	0
1	random	4	7	0
1	random	4	8	0
1	random	4	9	0
1	random	4	10	0
1	user	1	1	0
1	user	1	2	0
1	user	1	3	0
1	user	1	4	0
1	user	1	5	0
1	user	1	6	0
1	user	1	7	0
1	user	1	8	0
1	user	1	9	0
1	user	1	10	0
1	user	2	1	0
1	user	2	2	0
1	user	2	3	0
1	user	2	4	0
1	user	2	5	0
1	user	2	6	0
1	user	2	7	0
1	user	2	8	0
1	user	2	9	0
1	user	2	10	0
1	user	3	1	0
1	user	3	2	0
1	user	3	3	0
1	user	3	4	0
1	user	3	5	0
1	user	3	6	0
1	user	3	7	0
1	user	3	8	0
1	user	3	9	0
1	user	3	10	0
1	user	4	1	0
1	user	4	2	0
1	user	4	3	0
1	user	4	4	0
1	user	4	5	0
1	user	4	6	0
1	user	4	7	0
1	user	4	8	0
1	user	4	9	0
1	user	4	10	0
2	simple10	1	1	1
2	simple10	1	2	1
2	simple10	1	3	0
2	simple10	1	4	0
2	simple10	1	5	0
2	simple10	1	6	0
2	simple10	1	7	0
2	simple10	1	8	0
2	simple10	1	9	1
2	simple10	1	10	0
2	simple10	2	1	0
2	simple10	2	2	0
2	simple10	2	3	3
2	simple10	2	4	2
2	simple10	2	5	0
2	simple10	2	6	0
2	simple10	2	7	3
2	simple10	2	8	0
2	simple10	2	9	0
2	simple10	2	10	2
2	simple10	3	1	0
2	simple10	3	2	1
2	simple10	3	3	0
2	simple10	3	4	0
2	simple10	3	5	0
2	simple10	3	6	0
2	simple10	3	7	0
2	simple10	3	8	0
2	simple10	3	9	0
2	simple10	3	10	0
2	simple10	4	1	0
2	simple10	4	2	0
2	simple10	4	3	0
2	simple10	4	4	0
2	simple10	4	5	0
2	simple10	4	6	0
2	simple10	4	7	0
2	simple10	4	8	0
2	simple10	4	9	0
2	simple10	4	10	1
2	random	1	1	0
2	random	1	2	1
2	random	1	3	0
2	random	1	4	0
2	random	1	5	0
2	random	1	6	0
2	random	1	7	0
2	random	1	8	0
2	random	1	9	0
2	random	1	10	0
2	random	2	1	0
2	random	2	2	0
2	random	2	3	1
2	random	2	4	0
2	random	2	5	0
2	random	2	6	0
2	random	2	7	0
2	random	2	8	0
2	random	2	9	0
2	random	2	10	0
2	random	3	1	0
2	random	3	2	0
2	random	3	3	0
2	random	3	4	0
2	random	3	5	0
2	random	3	6	0
2	random	3	7	0
2	random	3	8	0
2	random	3	9	0
2	random	3	10	0
2	random	4	1	0
2	random	4	2	0
2	random	4	3	0
2	random	4	4	0
2	random	4	5	0
2	random	4	6	0
2	random	4	7	0
2	random	4	8	0
2	random	4	9	0
2	random	4	10	0
2	user	1	1	0
2	user	1	2	0
2	user	1	3	1
2	user	1	4	0
2	user	1	5	0
2	user	1	6	0
2	user	1	7	3
2	user	1	8	0
2	user	1	9	1
2	user	1	10	0
2	user	2	1	0
2	user	2	2	0
2	user	2	3	0
2	user	2	4	0
2	user	2	5	0
2	user	2	6	0
2	user	2	7	0
2	user	2	8	0
2	user	2	9	0
2	user	2	10	0
2	user	3	1	0
2	user	3	2	0
2	user	3	3	0
2	user	3	4	0
2	user	3	5	0
2	user	3	6	0
2	user	3	7	0
2	user	3	8	0
2	user	3	9	0
2	user	3	10	0
2	user	4	1	0
2	user	4	2	0
2	user	4	3	0
2	user	4	4	0
2	user	4	5	0
2	user	4	6	0
2	user	4	7	0
2	user	4	8	0
2	user	4	9	0
2	user	4	10	0
3	simple10	1	1	0
3	simple10	1	2	0
3	simple10	1	3	4
3	simple10	1	4	0
3	simple10	1	5	0
3	simple10	1	6	1
3	simple10	1	7	0
3	simple10	1	8	0
3	simple10	1	9	0
3	simple10	1	10	2
3	simple10	2	1	1
3	simple10	2	2	0
3	simple10	2	3	2
3	simple10	2	4	0
3	simple10	2	5	0
3	simple10	2	6	0
3	simple10	2	7	5
3	simple10	2	8	2
3	simple10	2	9	0
3	simple10	2	10	0
3	simple10	3	1	0
3	simple10	3	2	5
3	simple10	3	3	0
3	simple10	3	4	0
3	simple10	3	5	0
3	simple10	3	6	0
3	simple10	3	7	0
3	simple10	3	8	0
3	simple10	3	9	1
3	simple10	3	10	0
3	simple10	4	1	0
3	simple10	4	2	2
3	simple10	4	3	0
3	simple10	4	4	1
3	simple10	4	5	2
3	simple10	4	6	0
3	simple10	4	7	3
3	simple10	4	8	0
3	simple10	4	9	0
3	simple10	4	10	0
3	random	1	1	2
3	random	1	2	1
3	random	1	3	0
3	random	1	4	0
3	random	1	5	2
3	random	1	6	7
3	random	1	7	0
3	random	1	8	1
3	random	1	9	6
3	random	1	10	0
3	random	2	1	1
3	random	2	2	0
3	random	2	3	1
3	random	2	4	1
3	random	2	5	0
3	random	2	6	0
3	random	2	7	0
3	random	2	8	0
3	random	2	9	0
3	random	2	10	0
3	random	3	1	0
3	random	3	2	0
3	random	3	3	1
3	random	3	4	0
3	random	3	5	0
3	random	3	6	0
3	random	3	7	0
3	random	3	8	0
3	random	3	9	0
3	random	3	10	1
3	random	4	1	0
3	random	4	2	0
3	random	4	3	0
3	random	4	4	0
3	random	4	5	0
3	random	4	6	0
3	random	4	7	0
3	random	4	8	0
3	random	4	9	0
3	random	4	10	2
3	user	1	1	0
3	user	1	2	0
3	user	1	3	0
3	user	1	4	0
3	user	1	5	0
3	user	1	6	0
3	user	1	7	0
3	user	1	8	0
3	user	1	9	0
3	user	1	10	0
3	user	2	1	1
3	user	2	2	0
3	user	2	3	0
3	user	2	4	0
3	user	2	5	0
3	user	2	6	0
3	user	2	7	0
3	user	2	8	0
3	user	2	9	0
3	user	2	10	0
3	user	3	1	1
3	user	3	2	0
3	user	3	3	0
3	user	3	4	0
3	user	3	5	0
3	user	3	6	0
3	user	3	7	0
3	user	3	8	0
3	user	3	9	0
3	user	3	10	0
3	user	4	1	0
3	user	4	2	0
3	user	4	3	0
3	user	4	4	0
3	user	4	5	0
3	user	4	6	0
3	user	4	7	0
3	user	4	8	0
3	user	4	9	0
3	user	4	10	0
4	simple10	1	1	0
4	simple10	1	2	1
4	simple10	1	3	0
4	simple10	1	4	0
4	simple10	1	5	0
4	simple10	1	6	0
4	simple10	1	7	2
4	simple10	1	8	0
4	simple10	1	9	0
4	simple10	1	10	0
4	simple10	2	1	2
4	simple10	2	2	1
4	simple10	2	3	0
4	simple10	2	4	0
4	simple10	2	5	0
4	simple10	2	6	3
4	simple10	2	7	0
4	simple10	2	8	0
4	simple10	2	9	0
4	simple10	2	10	0
4	simple10	3	1	0
4	simple10	3	2	0
4	simple10	3	3	4
4	simple10	3	4	0
4	simple10	3	5	0
4	simple10	3	6	0
4	simple10	3	7	0
4	simple10	3	8	0
4	simple10	3	9	0
4	simple10	3	10	1
4	simple10	4	1	1
4	simple10	4	2	1
4	simple10	4	3	0
4	simple10	4	4	0
4	simple10	4	5	0
4	simple10	4	6	0
4	simple10	4	7	0
4	simple10	4	8	0
4	simple10	4	9	0
4	simple10	4	10	0
4	random	1	1	0
4	random	1	2	0
4	random	1	3	0
4	random	1	4	1
4	random	1	5	0
4	random	1	6	0
4	random	1	7	1
4	random	1	8	0
4	random	1	9	0
4	random	1	10	1
4	random	2	1	0
4	random	2	2	1
4	random	2	3	0
4	random	2	4	1
4	random	2	5	1
4	random	2	6	0
4	random	2	7	1
4	random	2	8	0
4	random	2	9	0
4	random	2	10	0
4	random	3	1	0
4	random	3	2	0
4	random	3	3	0
4	random	3	4	1
4	random	3	5	1
4	random	3	6	0
4	random	3	7	0
4	random	3	8	0
4	random	3	9	0
4	random	3	10	0
4	random	4	1	0
4	random	4	2	0
4	random	4	3	0
4	random	4	4	0
4	random	4	5	0
4	random	4	6	1
4	random	4	7	0
4	random	4	8	0
4	random	4	9	0
4	random	4	10	1
4	user	1	1	0
4	user	1	2	0
4	user	1	3	0
4	user	1	4	0
4	user	1	5	0
4	user	1	6	0
4	user	1	7	0
4	user	1	8	0
4	user	1	9	1
4	user	1	10	0
4	user	2	1	0
4	user	2	2	0
4	user	2	3	0
4	user	2	4	0
4	user	2	5	0
4	user	2	6	0
4	user	2	7	0
4	user	2	8	3
4	user	2	9	0
4	user	2	10	0
4	user	3	1	0
4	user	3	2	0
4	user	3	3	1
4	user	3	4	0
4	user	3	5	0
4	user	3	6	0
4	user	3	7	0
4	user	3	8	0
4	user	3	9	0
4	user	3	10	0
4	user	4	1	0
4	user	4	2	0
4	user	4	3	0
4	user	4	4	0
4	user	4	5	0
4	user	4	6	0
4	user	4	7	0
4	user	4	8	0
4	user	4	9	1
4	user	4	10	0
5	simple10	1	1	0
5	simple10	1	2	1
5	simple10	1	3	1
5	simple10	1	4	0
5	simple10	1	5	4
5	simple10	1	6	0
5	simple10	1	7	1
5	simple10	1	8	2
5	simple10	1	9	0
5	simple10	1	10	0
5	simple10	2	1	0
5	simple10	2	2	0
5	simple10	2	3	0
5	simple10	2	4	0
5	simple10	2	5	0
5	simple10	2	6	2
5	simple10	2	7	0
5	simple10	2	8	0
5	simple10	2	9	0
5	simple10	2	10	0
5	simple10	3	1	1
5	simple10	3	2	0
5	simple10	3	3	0
5	simple10	3	4	0
5	simple10	3	5	0
5	simple10	3	6	0
5	simple10	3	7	0
5	simple10	3	8	0
5	simple10	3	9	0
5	simple10	3	10	0
5	simple10	4	1	0
5	simple10	4	2	0
5	simple10	4	3	0
5	simple10	4	4	0
5	simple10	4	5	0
5	simple10	4	6	0
5	simple10	4	7	0
5	simple10	4	8	0
5	simple10	4	9	0
5	simple10	4	10	0
5	random	1	1	2
5	random	1	2	0
5	random	1	3	0
5	random	1	4	0
5	random	1	5	1
5	random	1	6	0
5	random	1	7	1
5	random	1	8	1
5	random	1	9	0
5	random	1	10	0
5	random	2	1	0
5	random	2	2	0
5	random	2	3	0
5	random	2	4	0
5	random	2	5	0
5	random	2	6	0
5	random	2	7	0
5	random	2	8	0
5	random	2	9	0
5	random	2	10	0
5	random	3	1	0
5	random	3	2	0
5	random	3	3	0
5	random	3	4	0
5	random	3	5	0
5	random	3	6	0
5	random	3	7	0
5	random	3	8	0
5	random	3	9	0
5	random	3	10	0
5	random	4	1	0
5	random	4	2	0
5	random	4	3	0
5	random	4	4	0
5	random	4	5	0
5	random	4	6	0
5	random	4	7	0
5	random	4	8	0
5	random	4	9	0
5	random	4	10	0
5	user	1	1	0
5	user	1	2	0
5	user	1	3	0
5	user	1	4	0
5	user	1	5	0
5	user	1	6	0
5	user	1	7	0
5	user	1	8	0
5	user	1	9	0
5	user	1	10	0
5	user	2	1	0
5	user	2	2	0
5	user	2	3	0
5	user	2	4	0
5	user	2	5	0
5	user	2	6	0
5	user	2	7	0
5	user	2	8	0
5	user	2	9	0
5	user	2	10	0
5	user	3	1	0
5	user	3	2	0
5	user	3	3	0
5	user	3	4	0
5	user	3	5	0
5	user	3	6	0
5	user	3	7	0
5	user	3	8	0
5	user	3	9	0
5	user	3	10	0
5	user	4	1	0
5	user	4	2	0
5	user	4	3	0
5	user	4	4	0
5	user	4	5	0
5	user	4	6	0
5	user	4	7	0
5	user	4	8	0
5	user	4	9	0
5	user	4	10	0
6	simple10	1	1	3
6	simple10	1	2	0
6	simple10	1	3	4
6	simple10	1	4	0
6	simple10	1	5	2
6	simple10	1	6	0
6	simple10	1	7	2
6	simple10	1	8	1
6	simple10	1	9	0
6	simple10	1	10	1
6	simple10	2	1	0
6	simple10	2	2	2
6	simple10	2	3	0
6	simple10	2	4	4
6	simple10	2	5	0
6	simple10	2	6	0
6	simple10	2	7	0
6	simple10	2	8	0
6	simple10	2	9	1
6	simple10	2	10	0
6	simple10	3	1	0
6	simple10	3	2	1
6	simple10	3	3	1
6	simple10	3	4	0
